Kode Matakuliah,Matakuliah,Dosen,Kelas,SKS,Hari,Ruang,Waktu
22040111D31,PSIKOLOGI KONSELING,"Dr. ROFIQAH,M.Pd",A,3,Jumat,ARI.Y.104,09.00 - 11.30
22040111D31,PSIKOLOGI KONSELING,"Dr. ROFIQAH,M.Pd",B,3,Rabu,ARI.Y.104,09.00 - 11.30
22040111D31,PSIKOLOGI KONSELING,"Dr. MUALLIFAH, M.A",C,3,Rabu,ITC.I.4,11.30 - 14.00
22040111D31,PSIKOLOGI KONSELING,"URIN LAILA SA'ADAH, S, Psi.M.Pd.",D,3,Selasa,ITC.I.2,06.30 - 09.00
22040111D31,PSIKOLOGI KONSELING,"Dr. ROFIQAH,M.Pd",E,3,Rabu,ARI.Y.104,06.30 - 09.00
22040111D31,PSIKOLOGI KONSELING,"UMDATUL KHOIROT,M.Psi",F,3,Rabu,ARI.Y.103,06.30 - 09.00
22040111D31,PSIKOLOGI KONSELING,"AININDITA AGHNIACAKTI,M.Psi",G,3,Rabu,ITC.I.1,11.30 - 14.00
22040111D31,PSIKOLOGI KONSELING,"Dr. TRISTIADI ARDI ARDANI, M.Si.Psi",H,3,Rabu,ARI.Y.104,11.30 - 14.00
22040111D31,PSIKOLOGI KONSELING,"Dr. TRISTIADI ARDI ARDANI, M.Si.Psi",I,3,Senin,ITC.I.5,06.30 - 09.00
22040111D34,MODIFIKASI PERILAKU,"Dr. YULIA SHOLICHATUN,M.Si",A,2,Senin,B.212,08.10 - 09.50
22040111D34,MODIFIKASI PERILAKU,"Dr. YULIA SHOLICHATUN,M.Si",B,2,Senin,B.212,06.30 - 08.10
22040111D34,MODIFIKASI PERILAKU,"MUHAMMAD JAMALUDDIN,M.Si",C,2,Senin,B.213,09.50 - 11.30
22040111D34,MODIFIKASI PERILAKU,"MUHAMMAD JAMALUDDIN,M.Si",D,2,Senin,B.213,08.10 - 09.50
22040111D34,MODIFIKASI PERILAKU,"MUHAMMAD JAMALUDDIN,M.Si",E,2,Senin,B.213,12.20 - 14.00
22040111D34,MODIFIKASI PERILAKU,"HILDA HALIDA,M.Psi",F,2,Senin,B.312,06.30 - 08.10
22040111D34,MODIFIKASI PERILAKU,"Dr. FINA HIDAYATI, MA",G,2,Jumat,B.212,09.50 - 11.30
22040111D34,MODIFIKASI PERILAKU,"MUH. ANWAR FU'ADY,S.Psi, M.A",H,2,Jumat,B.312,08.10 - 09.50
22040111D34,MODIFIKASI PERILAKU,"MUH. ANWAR FU'ADY,S.Psi, M.A",I,2,Jumat,B.312,06.30 - 08.10
22040111D35,PKL,,,2,,,
22040111D36,PSIKOLOGI KOMUNITAS,"Dr. MOHAMMAD MAHPUR,M.Si",A,1,Rabu,ARI.Y.101,10.40 - 11.30
22040111D36,PSIKOLOGI KOMUNITAS,"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",B,1,Kamis,ARI.Y.102 ,06.30 - 07.20
22040111D36,PSIKOLOGI KOMUNITAS,"Dr. FATHUL LUBABIN NUQUL, M.Si",C,1,Kamis,ITC.I.6,09.00 - 09.50
